,year,region_x,indicator,value,x_x,y_x,region_y,driving_licenses,x_y,y_y
81,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Makkah,136055,,
82,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Madinah,24540,,
83,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Al-Qaseem,9180,,
84,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Hail,54507,,
85,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Eastern,142307,,
86,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Assir,41367,,
87,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Jazan,11504,,
88,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Riyadh,242851,,
89,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Al-Jouf,9371,,
90,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Tabouk,13610,,
91,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Al-Baha,4614,27.400845724, 41.4406960508
92,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Northern Boarder,4958,,
93,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Najran,2153,,
94,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Makkah,136055,,
95,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Madinah,24540,,
96,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Al-Qaseem,9180,,
97,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Hail,54507,,
98,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Eastern,142307,,
99,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Assir,41367,,
100,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Jazan,11504,,
101,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Riyadh,242851,,
102,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Al-Jouf,9371,,
103,2016,Jazan,No. of Casualties - Dead,514,17.2072313962, 42.6525807422,Tabouk,13610,,
104,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Al-Baha,4614,27.400845724, 41.4406960508
105,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Northern Boarder,4958,,
106,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Najran,2153,,
107,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Makkah,136055,,
108,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Madinah,24540,,
109,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Al-Qaseem,9180,,
110,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Hail,54507,,
111,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Eastern,142307,,
112,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Assir,41367,,
113,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Jazan,11504,,
114,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Riyadh,242851,,
115,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Al-Jouf,9371,,
116,2016,Al-Baaha,No. of Casualties - Injured,1227,20.1484058503, 41.4665484892,Tabouk,13610,,
117,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Al-Baha,4614,27.400845724, 41.4406960508
118,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Northern Boarder,4958,,
119,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Najran,2153,,
120,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Makkah,136055,,
121,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Madinah,24540,,
122,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Al-Qaseem,9180,,
123,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Hail,54507,,
124,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Eastern,142307,,
125,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Assir,41367,,
126,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Jazan,11504,,
